MEL,Melbourne Tullamarine Airport,Melbourne,Australia,
JFK,John F. Kennedy International Airport,New York,USA,
LAX,Los Angeles International Airport,Los Angeles,USA,
LHR,London Heathrow Airport,London,United Kingdom,
BKK,Bangkok Suvarnabhumi Airport,Bangkok,Thailand,
CDG,Charles de Gaulle Airport,Paris,France,
SYD,Sydney Kingsford Smith Airport,Sydney,Australia,
DXB,Dubai International Airport,Dubai,United Arab Emirates,
SIN,Singapore Changi Airport,Singapore,Singapore,
PEK,Beijing Capital International Airport,Beijing,China,
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,USA,
ORD,O'Hare International Airport,Chicago,USA,
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,
HND,Tokyo Haneda Airport,Tokyo,Japan,
FRA,Frankfurt Airport,Frankfurt,Germany,
IST,Istanbul Ataturk Airport,Istanbul,Turkey,
ICN,Incheon International Airport,Seoul,South Korea,
DEN,Denver International Airport,Denver,USA,
DFW,Dallas/Fort Worth International Airport,Dallas,USA,
CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,
