MEX,Mexico City International Airport,Mexico City,Mexico,
SYD,Sydney Kingsford Smith Airport,Sydney,Australia,
MAD,Adolfo Suarez Madrid Barajas Airport,Madrid,Spain,
BCN,Barcelona El Prat Airport,Barcelona,Spain,
LGW,London Gatwick Airport,London,United Kingdom,
YYZ,Toronto Pearson International Airport,Toronto,Canada,
LGA,LaGuardia Airport,New York,USA,
SFO,San Francisco International Airport,San Francisco,USA,
MUC,Munich Airport,Munich,Germany,
ORY,Paris Orly Airport,Paris,France,
BRU,Brussels Airport,Brussels,Belgium,
MIA,Miami International Airport,Miami,USA,
DUB,Dublin Airport,Dublin,Ireland,
DXB,Dubai International Airport,Dubai,United Arab Emirates,
HKG,Hong Kong International Airport,Hong Kong,Hong Kong,
MCO,Orlando International Airport,Orlando,USA,
TXL,Berlin Tegel Airport,Berlin,Germany,
ZRH,Zurich Airport,Zurich,Switzerland,
PER,Perth Airport,Perth,Australia
